"Rv_tag","Mb_tag","category","AA overlap","gene","Deleted in","Gene/RD region","Mb length","RD region","Rv length","Annotation"
"Rv0296c","Mb0304c","intermediate metabolism and respiration","465 aa overlap",,,," 465 aa",," 465 aa ","probable sulfatase"
"Rv0298","Mb0306","conserved hypothetical protein","75 aa overlap",,,," 75 aa",," 75 aa ","hypothetical protein"
"Rv0300","Mb0308","virulence, detoxification,adaptation","73 aa overlap","vapb2",,," 73 aa",," 73 aa ","possible antitoxin vapb2"
"Rv0301","Mb0309","virulence, detoxification,adaptation","141 aa overlap","vapc2",,," 141 aa",," 141 aa ","possible toxin vapc2"
"Rv0303","Mb0311","intermediate metabolism and respiration","302 aa overlap",,,," 302 aa",," 302 aa ","probable dehydrogenase/reductase"
"Rv0306","Mb0314","intermediate metabolism and respiration","223 aa overlap",,,," 223 aa",," 223 aa ","putative oxidoreductase"
"Rv0307c","Mb0315c","conserved hypothetical protein","160 aa overlap",,,," 160 aa",," 160 aa ","unknown protein"
"Rv0308","Mb0316","cell wall and cell processes","238 aa overlap",,,," 238 aa",," 238 aa ","probable conserved integral membrane protein"
"Rv0309","Mb0317","cell wall and cell processes","218 aa overlap",,,," 218 aa",," 218 aa ","possible conserved exported protein"
"Rv0310c","Mb0318c","conserved hypothetical protein","163 aa overlap",,,," 163 aa",," 163 aa ","conserved protein"
"Rv0311","Mb0319","conserved hypothetical protein","409 aa overlap",,,," 409 aa",," 409 aa ","unknown protein"
"Rv0313","Mb0321","conserved hypothetical protein","128 aa overlap",,,," 128 aa",," 128 aa ","conserved protein"
"Rv0316","Mb0324","intermediate metabolism and respiration","204 aa overlap",,,," 204 aa",," 204 aa ","possible muconolactone isomerase"
"Rv0317c","Mb0325c","intermediate metabolism and respiration","256 aa overlap","glpQ2",,," 256 aa",," 256 aa ","possible glycerophosphoryl diester phosphodiesterase glpq2 glycerophosphodiester phosphodiesterase"
"Rv0319","Mb0327","intermediate metabolism and respiration","222 aa overlap","pcp",,," 222 aa",," 222 aa ","probable pyrrolidone-carboxylate peptidase pcp 5-oxoprolyl-peptidase pyroglutamyl-peptidase i pgp-i pyrase"
"Rv0320","Mb0328","cell wall and cell processes","220 aa overlap",,,," 220 aa",," 220 aa ","possible conserved exported protein"
"Rv0322","Mb0330","intermediate metabolism and respiration","443 aa overlap","udgA",,," 443 aa",," 443 aa ","probable udp-glucose 6-dehydrogenase udga udp-glc dehydrogenase udp-glcdh udpgdh"
"Rv0328","Mb0335","regulatory proteins","200 aa overlap",,,," 200 aa",," 200 aa ","possible transcriptional regulatory protein possibly tetr/acrr-family"
"Rv0330c","Mb0337c","conserved hypothetical protein","246 aa overlap",,,," 246 aa",," 246 aa ","hypothetical protein"
"Rv0331","Mb0338","intermediate metabolism and respiration","388 aa overlap",,,," 388 aa",," 388 aa ","possible dehydrogenase/reductase"
"Rv0333","Mb0340","conserved hypothetical protein","124 aa overlap",,,," 124 aa",," 124 aa ","unknown protein"
"Rv0334","Mb0341","intermediate metabolism and respiration","288 aa overlap","rmlA",,," 288 aa",," 288 aa ","alpha-d-glucose-1-phosphate thymidylyltransferase rmla dtdp-glucose synthase dtdp-glucose pyrophosphorylase"
"Rv0335c","Mb0342c","PE/PPE","171 aa overlap","PE6",,," 171 aa",," 171 aa ","pe family protein pe6"
"Rv0336","Mb0343","insertion seqs and phages","503 aa overlap",,,," 503 aa",," 503 aa ","conserved 13e12 repeat family protein"
"Rv0337c","Mb0344c","intermediate metabolism and respiration","429 aa overlap","aspC",,," 429 aa",," 429 aa ","probable aspartate aminotransferase aspc transaminase a aspat"
"Rv0339c","Mb0346c","regulatory proteins","832 aa overlap",,,," 832 aa",," 832 aa ","possible transcriptional regulatory protein"
"Rv0340","Mb0347","conserved hypothetical protein","179 aa overlap",,,," 179 aa",," 179 aa ","conserved protein"
"Rv0341","Mb0348","cell wall and cell processes","479 aa overlap","iniB",,," 479 aa",," 479 aa ","isoniazid inductible gene protein inib"
"Rv0343","Mb0350","cell wall and cell processes","493 aa overlap","iniC",,," 493 aa",," 493 aa ","isoniazid inductible gene protein inic"
"Rv0344c","Mb0351c","cell wall and cell processes","186 aa overlap","lpqJ",,," 186 aa",," 186 aa ","probable lipoprotein lpqj"
"Rv0346c","Mb0354c","cell wall and cell processes","487 aa overlap","ansP2",,," 487 aa",," 487 aa ","possible l-asparagine permease ansp2 l-asparagine transport protein"
"Rv0347","Mb0355","cell wall and cell processes","328 aa overlap",,,," 328 aa",," 328 aa ","probable conserved membrane protein"
"Rv0348","Mb0356","regulatory proteins","217 aa overlap",,,," 217 aa",," 217 aa ","possible transcriptional regulatory protein"
"Rv0349","Mb0357","conserved hypothetical protein","219 aa overlap",,,," 219 aa",," 219 aa ","hypothetical protein"
"Rv0350","Mb0358","virulence, detoxification,adaptation","625 aa overlap","dnaK",,," 625 aa",," 625 aa ","probable chaperone protein dnak heat shock protein 70 heat shock 70 kda protein hsp70"
"Rv0352","Mb0360","virulence, detoxification,adaptation","395 aa overlap","dnaJ1",,," 395 aa",," 395 aa ","probable chaperone protein dnaj1"
"Rv0353","Mb0361","virulence, detoxification,adaptation","126 aa overlap","hspR",,," 126 aa",," 126 aa ","probable heat shock protein transcriptional repressor hspr merr family"
"Rv0356c","Mb0363c","conserved hypothetical protein","214 aa overlap",,,," 214 aa",," 214 aa ","conserved protein"
"Rv0357c","Mb0364c","intermediate metabolism and respiration","432 aa overlap","purA",,," 432 aa",," 432 aa ","probable adenylosuccinate synthetase pura imp--aspartate ligase adss ampsase"
"Rv0358","Mb0365","conserved hypothetical protein","215 aa overlap",,,," 215 aa",," 215 aa ","conserved protein"
"Rv0360c","Mb0367c","conserved hypothetical protein","145 aa overlap",,,," 145 aa",," 145 aa ","conserved protein"
"Rv0361","Mb0368","cell wall and cell processes","275 aa overlap",,,," 275 aa",," 275 aa ","probable conserved membrane protein"
"Rv0363c","Mb0370c","intermediate metabolism and respiration","344 aa overlap","fba",,," 344 aa",," 344 aa ","probable fructose-bisphosphate aldolase fba"
"Rv0365c","Mb0372c","conserved hypothetical protein","376 aa overlap",,,," 376 aa",," 376 aa ","conserved protein"
"Rv0366c","Mb0373c","conserved hypothetical protein","197 aa overlap",,,," 197 aa",," 197 aa ","conserved hypothetical protein"
"Rv0367c","Mb0374c","conserved hypothetical protein","129 aa overlap",,,," 129 aa",," 129 aa ","hypothetical protein"
"Rv0369c","Mb0376c","intermediate metabolism and respiration","171 aa overlap",,,," 171 aa",," 171 aa ","possible membrane oxidoreductase"
"Rv0371c","Mb0378c","conserved hypothetical protein","197 aa overlap",,,," 197 aa",," 197 aa ","conserved hypothetical protein"
"Rv0374c","Mb0381c","intermediate metabolism and respiration","159 aa overlap",,,," 159 aa",," 159 aa ","probable carbon monoxyde dehydrogenase small chain"
"Rv0375c","Mb0382c","intermediate metabolism and respiration","286 aa overlap",,,," 286 aa",," 286 aa ","probable carbon monoxyde dehydrogenase medium chain"
"Rv0376c","Mb0383c","conserved hypothetical protein","380 aa overlap",,,," 380 aa",," 380 aa ","conserved hypothetical protein"
"Rv0378","Mb0385","conserved hypothetical protein","73 aa overlap",,,," 73 aa",," 73 aa ","conserved hypothetical glycine rich protein"
"Rv0379","Mb0386","cell wall and cell processes","71 aa overlap","secE2",,," 71 aa",," 71 aa ","possible protein transport protein sece2"
"Rv0380c","Mb0387c","intermediate metabolism and respiration","183 aa overlap",,,," 183 aa",," 183 aa ","possible rna methyltransferase rna methylase"
"Rv0381c","Mb0388c","conserved hypothetical protein","302 aa overlap",,,," 302 aa",," 302 aa ","hypothetical protein"
"Rv0382c","Mb0389c","intermediate metabolism and respiration","179 aa overlap","pyrE",,," 179 aa",," 179 aa ","probable orotate phosphoribosyltransferase pyre oprt oprtase"
"Rv0383c","Mb0390c","cell wall and cell processes","284 aa overlap",,,," 284 aa",," 284 aa ","possible conserved secreted protein"
"Rv0384c","Mb0391c","virulence, detoxification,adaptation","848 aa overlap","clpB",,," 848 aa",," 848 aa ","probable endopeptidase atp binding protein chain b clpb clpb protein heat shock protein f84.1"
"Rv0385","Mb0392","intermediate metabolism and respiration","390 aa overlap",,,," 390 aa",," 390 aa ","probable monooxygenase"
"Rv0390","Mb0396","conserved hypothetical protein","140 aa overlap",,,," 140 aa",," 140 aa ","conserved protein"
"Rv0391","Mb0397","intermediate metabolism and respiration","406 aa overlap","metZ",,," 406 aa",," 406 aa ","probable o-succinylhomoserine sulfhydrylase metz osh sulfhydrylase"
"Rv0393","Mb0399","insertion seqs and phages","441 aa overlap",,,,"441 aa",," 441 aa ","conserved 13e12 repeat family protein"
"Rv0394c","Mb0400c","cell wall and cell processes","239 aa overlap",,,," 239 aa",," 239 aa ","possible secreted protein"
"Rv0396","Mb0402","conserved hypothetical protein","130 aa overlap",,,," 130 aa",," 130 aa ","hypothetical protein"
"Rv0397","Mb0403","insertion seqs and phages","122 aa overlap",,,," 122 aa",," 122 aa ","conserved 13e12 repeat family protein"
"Rv0397A","Mb0403A","conserved hypothetical protein","82 aa overlap",,,," 82 aa",," 82 aa ","conserved protein"
"Rv0398c","Mb0404c","cell wall and cell processes","213 aa overlap",,,," 213 aa",," 213 aa ","possible secreted protein"
"Rv0399c","Mb0405c","cell wall and cell processes","409 aa overlap","lpqK",,," 409 aa",," 409 aa ","possible conserved lipoprotein lpqk"
"Rv0400c","Mb0406c","lipid metabolism","395 aa overlap","fadE7",,," 395 aa",," 395 aa ","acyl-coa dehydrogenase fade7"
"Rv0401","Mb0407","cell wall and cell processes","123 aa overlap",,,," 123 aa",," 123 aa ","probable conserved transmembrane protein"
"Rv0403c","Mb0410c","cell wall and cell processes","142 aa overlap","mmpS1",,," 142 aa",," 142 aa ","probable conserved membrane protein mmps1"
"Rv0406c","Mb0414c","conserved hypothetical protein","272 aa overlap",,,," 272 aa",," 272 aa ","beta lactamase like protein"
"Rv0407","Mb0415","intermediate metabolism and respiration","336 aa overlap","fgd1",,," 336 aa",," 336 aa ","f420-dependent glucose-6-phosphate dehydrogenase fgd1"
"Rv0409","Mb0417","intermediate metabolism and respiration","385 aa overlap","ackA",,," 385 aa",," 385 aa ","probable acetate kinase acka acetokinase"
"Rv0410c","Mb0418c","regulatory proteins","750 aa overlap","pknG",,," 750 aa",," 750 aa ","serine/threonine-protein kinase pkng protein kinase g stpk g"
"Rv0411c","Mb0419c","cell wall and cell processes","328 aa overlap","glnH",,," 328 aa",," 328 aa ","probable glutamine-binding lipoprotein glnh glnbp"
"Rv0413","Mb0421","information pathways","217 aa overlap","mutT3",,," 217 aa",," 217 aa ","possible mutator protein mutt3 7c8-dihydro-8-oxoguanine-triphosphatase 8-oxo-dgtpase dgtp pyrophosphohydrolase"
"Rv0414c","Mb0422c","intermediate metabolism and respiration","222 aa overlap","thiE",,," 222 aa",," 222 aa ","thiamine-phosphate pyrophosphorylase thie tmp pyrophosphorylase tmp-ppase thiamine-phosphate synthase"
"Rv0416","Mb0424","intermediate metabolism and respiration","68 aa overlap","thiS",,," 68 aa",," 68 aa ","possible protein this"
"Rv0418","Mb0426","cell wall and cell processes","500 aa overlap","lpqL",,," 500 aa",," 500 aa ","probable lipoprotein aminopeptidase lpql"
"Rv0421c","Mb0429c","conserved hypothetical protein","209 aa overlap",,,," 209 aa",," 209 aa ","conserved hypothetical protein"
"Rv0422c","Mb0430c","intermediate metabolism and respiration","265 aa overlap","thiD",,," 265 aa",," 265 aa ","probable phosphomethylpyrimidine kinase thid hmp-phosphate kinase hmp-p kinase"
"Rv0423c","Mb0431c","intermediate metabolism and respiration","547 aa overlap","thiC",,," 547 aa",," 547 aa ","probable thiamine biosynthesis protein thic"
"Rv0424c","Mb0432c","conserved hypothetical protein","91 aa overlap",,,," 91 aa",," 91 aa ","hypothetical protein"
"Rv0426c","Mb0434c","cell wall and cell processes","147 aa overlap",,,," 147 aa",," 147 aa ","possible transmembrane protein"
"Rv0427c","Mb0435c","information pathways","291 aa overlap","xthA",,," 291 aa",," 291 aa ","probable exodeoxyribonuclease iii protein xtha exonuclease iii exo iii ap endonuclease vi"
"Rv0430","Mb0438","conserved hypothetical protein","102 aa overlap",,,," 102 aa",," 102 aa ","conserved hypothetical protein"
"Rv0432","Mb0440","virulence, detoxification,adaptation","240 aa overlap","sodC",,," 240 aa",," 240 aa ","periplasmic superoxide dismutase [cu-zn] sodc"
"Rv0433","Mb0441","conserved hypothetical protein","376 aa overlap",,,," 376 aa",," 376 aa ","conserved hypothetical protein"
"Rv0435c","Mb0443c","cell wall and cell processes","728 aa overlap",,,," 728 aa",," 728 aa ","putative conserved atpase"
"Rv0437c","Mb0445c","lipid metabolism","231 aa overlap","psd",,," 231 aa",," 231 aa ","possible phosphatidylserine decarboxylase psd ps decarboxylase"
"Rv0439c","Mb0447c","intermediate metabolism and respiration","311 aa overlap",,,," 311 aa",," 311 aa ","probable dehydrogenase/reductase"
"Rv0440","Mb0448","virulence, detoxification,adaptation","540 aa overlap","groEL2",,," 540 aa",," 540 aa ","60 kda chaperonin 2 groel2 protein cpn60-2 groel protein 2 65 kda antigen heat shock protein 65 cell wall protein a antigen a"
"Rv0441c","Mb0449c","conserved hypothetical protein","142 aa overlap",,,," 142 aa",," 142 aa ","hypothetical protein"
"Rv0443","Mb0451","conserved hypothetical protein","171 aa overlap",,,," 171 aa",," 171 aa ","conserved protein"
"Rv0445c","Mb0453c","information pathways","187 aa overlap","sigK",,," 187 aa",," 187 aa ","alternative rna polymerase sigma factor sigk"
"Rv0446c","Mb0454c","cell wall and cell processes","256 aa overlap",,,," 256 aa",," 256 aa ","possible conserved transmembrane protein"
"Rv0447c","Mb0455c","lipid metabolism","427 aa overlap","ufaA1",,," 427 aa",," 427 aa ","probable cyclopropane-fatty-acyl-phospholipid synthase ufaa1 cyclopropane fatty acid synthase cfa synthase"
"Rv0448c","Mb0456c","conserved hypothetical protein","221 aa overlap",,,," 221 aa",," 221 aa ","conserved hypothetical protein"
"Rv0449c","Mb0457c","conserved hypothetical protein","439 aa overlap",,,," 439 aa",," 439 aa ","conserved hypothetical protein"
"Rv0451c","Mb0459c","cell wall and cell processes","140 aa overlap","mmpS4",,," 140 aa",," 140 aa ","probable conserved membrane protein mmps4"
"Rv0452","Mb0460","regulatory proteins","236 aa overlap",,,," 236 aa",," 236 aa ","possible transcriptional regulatory protein"
"Rv0453","Mb0461","PE/PPE","518 aa overlap","PPE11",,," 518 aa",," 518 aa ","ppe family protein ppe11"
"Rv0454","Mb0462","conserved hypothetical protein","116 aa overlap",,,," 116 aa",," 116 aa ","conserved hypothetical protein"
"Rv0455c","Mb0463c","conserved hypothetical protein","148 aa overlap",,,," 148 aa",," 148 aa ","conserved protein"
"Rv0456c","Mb0464c","lipid metabolism","304 aa overlap","echA2",,," 304 aa",," 304 aa ","enoyl-coa hydratase echa2 enoyl hydrase unsaturated acyl-coa hydratase crotonase"
"Rv0456A","Mb0465c","virulence, detoxification,adaptation","93 aa overlap","mazf1",,," 93 aa",," 93 aa ","possible toxin mazf1"
"Rv0458","Mb0467","intermediate metabolism and respiration","507 aa overlap",,,," 507 aa",," 507 aa ","probable aldehyde dehydrogenase"
"Rv0459","Mb0468","conserved hypothetical protein","163 aa overlap",,,," 163 aa",," 163 aa ","conserved hypothetical protein"
"Rv0460","Mb0469","conserved hypothetical protein","79 aa overlap",,,," 79 aa",," 79 aa ","conserved hydrophobic protein"
"Rv0461","Mb0470","cell wall and cell processes","174 aa overlap",,,," 174 aa",," 174 aa ","probable transmembrane protein"
"Rv0462","Mb0471","intermediate metabolism and respiration","464 aa overlap","lpd",,," 464 aa",," 464 aa ","dihydrolipoamide dehydrogenase lpdc lipoamide reductase nadh lipoyl dehydrogenase dihydrolipoyl dehydrogenase diaphorase"
"Rv0463","Mb0472","cell wall and cell processes","97 aa overlap",,,," 97 aa",," 97 aa ","probable conserved membrane protein"
"Rv0464c","Mb0473c","conserved hypothetical protein","190 aa overlap",,,," 190 aa",," 190 aa ","conserved protein"
"Rv0466","Mb0475","conserved hypothetical protein","264 aa overlap",,,," 264 aa",," 264 aa ","conserved protein"
"Rv0467","Mb0476","intermediate metabolism and respiration","428 aa overlap","icl",,," 428 aa",," 428 aa ","isocitrate lyase icl isocitrase isocitratase"
"Rv0468","Mb0477","lipid metabolism","286 aa overlap","fadB2",,," 286 aa",," 286 aa ","3-hydroxybutyryl-coa dehydrogenase fadb2 beta-hydroxybutyryl-coa dehydrogenase bhbd"
"Rv0469","Mb0478","lipid metabolism","286 aa overlap","umaA1",,," 286 aa",," 286 aa ","possible mycolic acid synthase umaa"
"Rv0470c","Mb0479c","lipid metabolism","287 aa overlap","pcaA",,," 287 aa",," 287 aa ","mycolic acid synthase pcaa cyclopropane synthase"
"Rv0470A","Mb0480c","conserved hypothetical protein","146 aa overlap",,,," 146 aa",," 146 aa ","hypothetical protein"
